Name,GEO_ID,"Less than $50,000","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 to $299,999","$300,000 to $499,999","$500,000 or more",Median (dollars),State,County,Tract
"Census Tract 104, Monterey County, California",1400000US06053010400,6.8,1.1,48.9,27.8,15.3,0,0,284400,6,53,10400
"Census Tract 1.01, Monterey County, California",1400000US06053000101,7.5,1.6,38.3,46.1,1.9,3.6,1,309000,6,53,101
"Census Tract 4, Monterey County, California",1400000US06053000400,0,0,24,70.3,3.9,0,1.8,342600,6,53,400
"Census Tract 106.06, Monterey County, California",1400000US06053010606,1.3,0,13.4,69.5,14.9,0,0.9,415000,6,53,10606
"Census Tract 124.02, Monterey County, California",1400000US06053012402,0,0,0,6.4,6.4,35.3,52,1022200,6,53,12402
"Census Tract 128, Monterey County, California",1400000US06053012800,0,0,3.8,10.6,32.3,35.5,17.9,773900,6,53,12800
"Census Tract 996.01, Orange County, California",1400000US06059099601,0,2.8,3.9,38,51.1,0,4.1,525500,6,59,99601
"Census Tract 996.03, Orange County, California",1400000US06059099603,3.7,0,2.4,17.4,71.2,5.3,0,593200,6,59,99603
"Census Tract 997.03, Orange County, California",1400000US06059099703,3.9,2.9,10.6,11.8,68.9,1.9,0,575600,6,59,99703
"Census Tract 999.04, Orange County, California",1400000US06059099904,0,0,10.7,56.2,30.6,2.5,0,461100,6,59,99904
"Census Tract 1100.07, Orange County, California",1400000US06059110007,0,0,1.9,1.7,15.3,54.5,26.6,892500,6,59,110007
"Census Tract 53.03, Ventura County, California",1400000US06111005303,1,0,6.2,26.4,50.2,16.2,0,581700,6,111,5303
"Census Tract 53.04, Ventura County, California",1400000US06111005304,2.7,0,15,53.1,29.2,0,0,434500,6,111,5304
"Census Tract 28.21, Kern County, California",1400000US06029002821,0.9,1.1,86.5,6.4,4.3,0,0.8,210100,6,29,2821
"Census Tract 8, Kern County, California",1400000US06029000800,3.4,12.9,71.7,1,11,0,0,163100,6,29,800
"Census Tract 41.01, Kern County, California",1400000US06029004101,1.6,10.4,65.1,17.8,0,0,5,174100,6,29,4101
"Census Tract 56, Kern County, California",1400000US06029005600,15,56.5,19.8,8.6,0,0,0,70500,6,29,5600
"Census Tract 41.02, Kern County, California",1400000US06029004102,2.9,24.2,64.6,8.3,0,0,0,118900,6,29,4102
"Census Tract 40.12, Sacramento County, California",1400000US06067004012,0,0,15,43,37.8,4.2,0,467100,6,67,4012
"Census Tract 30, Sacramento County, California",1400000US06067003000,4.3,1.4,68.2,21.1,5,0,0,237700,6,67,3000
"Census Tract 39, Sacramento County, California",1400000US06067003900,0,0,12.3,67.8,18.6,1.4,0,407600,6,67,3900
"Census Tract 49.05, Sacramento County, California",1400000US06067004905,3.1,1.5,89,4.8,0,1.5,0,216400,6,67,4905
"Census Tract 79.04, Sacramento County, California",1400000US06067007904,1.9,0,53.3,42.4,0.8,0.7,0.9,289100,6,67,7904
"Census Tract 81.38, Sacramento County, California",1400000US06067008138,7.7,0,52.2,34,3.5,0,2.6,276100,6,67,8138
"Census Tract 82.11, Sacramento County, California",1400000US06067008211,2,2,21.6,30.1,35,3.3,6,456300,6,67,8211
"Census Tract 93.09, Sacramento County, California",1400000US06067009309,6.8,1,34.9,57.2,0,0,0,315900,6,67,9309
"Census Tract 82.08, Sacramento County, California",1400000US06067008208,5.9,2.7,30.1,46.7,14.6,0,0,347600,6,67,8208
"Census Tract 85.04, Sacramento County, California",1400000US06067008504,0,0,6.1,74.5,17,1.1,1.3,410900,6,67,8504
"Census Tract 86, Sacramento County, California",1400000US06067008600,2.5,0,7.7,50.9,31,7.1,0.8,457100,6,67,8600
"Census Tract 90.08, Sacramento County, California",1400000US06067009008,1.6,1.9,94.4,0,2.1,0,0,206200,6,67,9008
"Census Tract 93.07, Sacramento County, California",1400000US06067009307,2.1,0,20.2,63.1,14.6,0,0,379400,6,67,9307
"Census Tract 94.06, Sacramento County, California",1400000US06067009406,0,0,12.8,39,31.5,6.6,10.1,493200,6,67,9406
"Census Tract 95.02, Sacramento County, California",1400000US06067009502,2.7,0,50,31,10.9,3.1,2.3,292800,6,67,9502
"Census Tract 3, Sacramento County, California",1400000US06067000300,0,0,0,34.6,45.8,17.4,2.2,584200,6,67,300
"Census Tract 9107.06, Los Angeles County, California",1400000US06037910706,1.5,4.4,69.3,24.8,0,0,0,230200,6,37,910706
"Census Tract 5023.02, Los Angeles County, California",1400000US06037502302,0,0,0,88.6,11.4,0,0,371800,6,37,502302
"Census Tract 9203.29, Los Angeles County, California",1400000US06037920329,2,0,12.7,45.5,38,1.7,0,467400,6,37,920329
"Census Tract 9203.32, Los Angeles County, California",1400000US06037920332,1.5,1.2,41.5,2.5,20.1,16.7,16.4,540400,6,37,920332
"Census Tract 1014, Los Angeles County, California",1400000US06037101400,1.9,0.9,8,27.6,46.3,11.6,3.6,562200,6,37,101400
"Census Tract 1043.10, Los Angeles County, California",1400000US06037104310,0,0,18.9,75.8,5.3,0,0,363000,6,37,104310
"Census Tract 1064.03, Los Angeles County, California",1400000US06037106403,2,0,11.5,73.4,9.9,0,3.2,381900,6,37,106403
"Census Tract 1065.20, Los Angeles County, California",1400000US06037106520,1.5,4.7,19.4,66.1,8.3,0,0,384600,6,37,106520
"Census Tract 5711.01, Los Angeles County, California",1400000US06037571101,2.5,3.7,0,48.9,42.6,2.3,0,486500,6,37,571101
"Census Tract 5711.02, Los Angeles County, California",1400000US06037571102,4.2,0,0,48.4,43.9,2.6,1,494000,6,37,571102
"Census Tract 5715.02, Los Angeles County, California",1400000US06037571502,10.5,0,13,31.4,38.3,6.8,0,472200,6,37,571502
"Census Tract 5716, Los Angeles County, California",1400000US06037571600,0,0,0,100,0,0,0,-666666666,6,37,571600
"Census Tract 5732.02, Los Angeles County, California",1400000US06037573202,1.5,0,14.5,74.9,9.1,0,0,359800,6,37,573202
"Census Tract 5739.02, Los Angeles County, California",1400000US06037573902,0.6,0,14,14.4,28.1,38.7,4.2,686600,6,37,573902
"Census Tract 5764.03, Los Angeles County, California",1400000US06037576403,0,0,41,26.5,6,26.5,0,358300,6,37,576403
"Census Tract 83.52, San Diego County, California",1400000US06073008352,0,0,11.5,48.2,40.3,0,0,475300,6,73,8352
"Census Tract 91.03, San Diego County, California",1400000US06073009103,0,2,3.5,7.9,47.2,32.3,7.1,694100,6,73,9103
"Census Tract 93.04, San Diego County, California",1400000US06073009304,0,0,38.2,46.4,15.4,0,0,332500,6,73,9304
"Census Tract 48, San Diego County, California",1400000US06073004800,0,0,21.5,26.9,51.6,0,0,507800,6,73,4800
"Census Tract 66, San Diego County, California",1400000US06073006600,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,6,73,6600
"Census Tract 70.02, San Diego County, California",1400000US06073007002,1.1,0,0,1.1,36.3,26.9,34.5,856100,6,73,7002
