White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Name,State,County,Tract
66.9,7.1,0.4,9.9,0,10.1,5.6,1400000US06037190100,4603,58,4.2,0.4,0.3,1.8,9.7,37.4,19.4,12.2,3,2.9,4.2,4.5,0,33.4,"Census Tract 1901, Los Angeles County, California",6,37,190100
63.2,0.8,0,26.7,0,2.3,7,1400000US06037192300,2475,47.5,4.6,2.6,1.5,1.9,3.8,25.9,22.9,12.6,3.3,6.3,7,4.8,2.9,39.8,"Census Tract 1923, Los Angeles County, California",6,37,192300
75.4,1.9,0.4,13.7,0,1,7.7,1400000US06037195100,5013,50.4,5.5,4.4,6.7,2.8,2.8,15.4,19.4,13.8,5.6,7.5,8.5,3.3,4.2,41.3,"Census Tract 1951, Los Angeles County, California",6,37,195100
40.1,0.3,0.2,8.9,1.2,41,8.2,1400000US06037195720,2079,51.5,9,1.8,1.9,1.3,7.5,22.8,12.9,9.7,6.3,11.5,10.8,3,1.3,39.2,"Census Tract 1957.20, Los Angeles County, California",6,37,195720
30.3,0,2.1,28.4,0,38.3,1,1400000US06037199201,3650,41.8,5,8.9,8.1,10.1,5.3,19.7,13.4,13.7,3.2,2.4,3.8,4.4,2.2,29.1,"Census Tract 1992.01, Los Angeles County, California",6,37,199201
62.9,1.5,0.9,0.3,0.5,33.6,0.3,1400000US06037203200,5168,50.1,6.1,11.3,6.5,6.6,4.7,20.4,13.2,15.7,2.2,4.1,5,3.2,1,30.9,"Census Tract 2032, Los Angeles County, California",6,37,203200
58.4,0.2,0.8,2.2,0,36,2.4,1400000US06037203800,4941,47.2,8.6,9.9,5.5,8.3,10.7,15.6,10.4,13.3,4.1,2,7.8,2.5,1.4,29.7,"Census Tract 2038, Los Angeles County, California",6,37,203800
66.6,2,0.7,1.1,0,27.5,1.9,1400000US06037204700,5676,51.6,8,7,7.7,7.7,7.2,16.6,12.6,17.7,2.2,4.4,4.4,1.8,2.7,31.7,"Census Tract 2047, Los Angeles County, California",6,37,204700
76.3,0.3,0,18.5,0,0.2,4.8,1400000US06111007510,6031,53,4.4,6.4,7.5,8.8,3.4,5.3,10.8,19.9,9.3,10,10.1,3.4,0.8,47.1,"Census Tract 75.10, Ventura County, California",6,111,7510
74.3,2.1,3.9,13.1,0,2.7,3.9,1400000US06111007511,2443,51.5,4.3,4.4,6.8,7.6,4.7,6.3,13,16.1,7.8,12.8,11,3.6,1.6,46.1,"Census Tract 75.11, Ventura County, California",6,111,7511
82.1,0.5,0.2,10.2,0,2.2,4.9,1400000US06111007512,5444,46.8,4.3,3.5,9.3,9.8,7.7,12.2,10.7,18.2,9.3,5.8,4.3,4,0.6,37.8,"Census Tract 75.12, Ventura County, California",6,111,7512
85.1,2,0.4,7.1,0,1.3,4.1,1400000US06111007513,1675,55.4,3.1,5,5.4,9.3,7.1,14.4,6,18.9,5.7,7.7,9.7,6,1.7,44.8,"Census Tract 75.13, Ventura County, California",6,111,7513
83.7,1.1,0,11.4,0,0.5,3.2,1400000US06111007514,6378,47.6,3.8,3.9,7,4.5,6.7,8.5,13,17.6,5.8,5.5,14.5,5.7,3.5,46.8,"Census Tract 75.14, Ventura County, California",6,111,7514
86.4,3,0.9,7,0.2,0.5,2.1,1400000US06111007609,2550,52.2,5.4,5.4,7.1,7.1,6.6,6.9,11.5,15.8,11.5,9.1,10.7,2.4,0.5,45,"Census Tract 76.09, Ventura County, California",6,111,7609
78,3,0.4,7.3,0,4.9,6.5,1400000US06111007610,5437,50.6,2.4,5,8,7.7,7.4,7.4,15.1,16.4,8.8,9.7,7.4,3.6,1,43,"Census Tract 76.10, Ventura County, California",6,111,7610
